time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.5992576248111816e-07,2.8355830958069316e-06,10.00761103489699,0.0013976910896413841,0.00027865128383641746,0.0,-3.103401276495979e-05,0.00020717708236482705,0.2536786657796662,0.049480371326323824,0.012608326727063149,0.0,483.86440964324476,484.8124314329528,480.2039795466492,483.94224133132053
0.12000000000000001,-1.1838722128680884e-05,6.023957612693565e-05,10.028319197758362,0.004120372885566326,0.0007255791232045894,0.0,-0.0004235111171849899,0.0020332510759965092,0.4365399798897286,0.03556178644674905,-0.005648225816800814,0.0,464.10924209091877,462.67427252546315,462.22728709190596,461.13037613427804
0.18,-5.4728805755031316e-05,0.0002905923438792166,10.060874288820393,0.006028147007621776,0.0013031108506860178,0.0,-0.0010326086172872963,0.005885955825799738,0.6485319439856264,0.02293885528452334,0.029738538997125894,0.0,469.7701620883918,472.5056860768632,472.00682372215186,471.0321004326808
0.23999999999999996,-0.00015121512095196205,0.0007773920851468259,10.10331864838608,0.0078234568022717,0.002813929826906758,0.0,-0.002358020725780296,0.010509040446729826,0.7662065928382455,0.04112855044421628,0.014001376793688423,0.0,443.8321607310359,442.5389680446434,441.92346698435006,443.4203298870386
0.3,-0.0003656937009513864,0.001611294130453754,10.15620025985663,0.010203808512160073,0.00369888303474486,0.0,-0.0048954016600721946,0.01758042499954311,0.9963387424616857,0.03658957321292308,0.016204411868812517,0.0,476.27518080685616,476.44350029348686,477.8895219495275,477.5441409538834
0.36000000000000004,-0.0007485239408208525,0.002910783814851498,10.221243949131123,0.01330190104259632,0.004850384035310462,0.0,-0.007985783422797106,0.026045116315978944,1.171616830782745,0.07153888088691689,0.024581073479543074,0.0,461.1740671040297,461.83510335176794,459.49097286295887,462.25441368174904
0.4200000000000001,-0.0013556143169711086,0.004825322434607814,10.298841436962311,0.017584542029195127,0.0063831813012997785,0.0,-0.012434513770221157,0.03829711264478959,1.4146884851310644,0.07105249125122536,0.027410746537748408,0.0,481.01141342818084,481.22569564607784,481.98077049109673,481.94749564808023
0.48000000000000015,-0.0022487990278146383,0.007526441784953885,10.38800158382529,0.02137077534577525,0.008355405860546838,0.0,-0.01753484395812511,0.05218225492005662,1.5571228807511301,0.03824926058604007,0.042011361704543226,0.0,451.72137425568906,452.8975105547169,453.36007805005727,450.71951590383003
0.5400000000000001,-0.003479543297831576,0.011097586288436394,10.483966225846052,0.02364972387563391,0.011269771711972076,0.0,-0.023762368838750686,0.0670811800009186,1.641572660237123,0.03744362981924682,0.05922304410488501,0.0,433.82373590514896,435.2678907362249,434.29899884246845,434.2321579397159
0.6000000000000002,-0.005170277942554743,0.015657220439649847,10.587020187808477,0.025918640326515252,0.014581248604244479,0.0,-0.0329709252452248,0.08514849450338506,1.7933220348597727,0.03854821654201715,0.04558029559552843,0.0,456.5533046520955,455.46551761740045,455.38293895176673,455.4719268924299
0.6600000000000003,-0.007509244448530361,0.021395274194544095,10.700841198763605,0.028110650941628457,0.017551308955190414,0.0,-0.045326835595250185,0.10637645861570019,2.000359140985772,0.03216558461455014,0.05636984822289026,0.0,472.3612895672746,473.19389868720117,473.0579671706996,472.56678643264
0.7200000000000003,-0.010639895328914113,0.028421634147494747,10.825810277499944,0.03021344706654716,0.02063696244619795,0.0,-0.05938643879980411,0.12805207585092754,2.1649646976442445,0.040261299972331334,0.039046175896357935,0.0,462.1471765361627,460.7813144324135,459.97656146931195,460.6176761807921
0.7800000000000004,-0.014716863178930839,0.03685197665527335,10.96241492523157,0.032745114488529126,0.023057990188807054,0.0,-0.07678978377955732,0.15324289171719305,2.3880669480850303,0.045803755732115876,0.0428385248612116,0.0,478.4306178430619,478.71997087822143,478.9616829725143,479.3838203757945
0.8400000000000004,-0.01986878583046878,0.046815038838944126,11.111152741823718,0.035255159754377985,0.025821264908913122,0.0,-0.09523676329789285,0.17914691702137983,2.5694497732678863,0.032400018213050955,0.05181355696676007,0.0,467.31044130054414,468.010618344758,467.9218235285015,466.878069711275
0.9000000000000005,-0.026284943369340823,0.05851013594623799,11.274230866454884,0.037168217685093374,0.028555703724654435,0.0,-0.11900564978716707,0.21091645300919917,2.865769568137897,0.030832577514227497,0.028614286309609663,0.0,502.08789364660396,500.4028956269941,501.70131692172157,501.58774332768115
0.9600000000000005,-0.03406480945375505,0.07199494945799347,11.450646230805175,0.03883061809588284,0.030206422923171772,0.0,-0.14049632573335852,0.23875460284763816,3.0143451778073427,0.020579907905496766,0.025211220376847455,0.0,459.6950672826295,459.42548492977164,460.85953246814233,460.0486030738914
1.0200000000000005,-0.0432428552731416,0.08727590867855012,11.638316567998986,0.040204442979035804,0.031120415655378153,0.0,-0.1655993081551316,0.2707430894004743,3.2407013501672766,0.02716915226698305,-0.03197934978894972,0.0,486.84506898329306,482.5470106606063,482.7085573027637,483.20554099473776
1.0800000000000005,-0.053836877517194105,0.10438487669940769,11.836448488633835,0.041429488578966556,0.02951294868723675,0.0,-0.18734027806941864,0.29969663415135606,3.3633367756627823,0.001367480768133365,-0.018036142803996562,0.0,454.2694653078102,455.3860144010419,454.65050085337816,452.5784798091593
1.1400000000000006,-0.0656585306539268,0.12318664171677467,12.040387911317024,0.04163520747186933,0.028153586379826123,0.0,-0.20659201470710728,0.32703278438626626,3.4344308502323635,0.00726171239511836,-0.034024941349321464,0.0,439.9042520780156,438.5781528968561,438.21856374740355,438.70820210002347
